trip_id,person_id,household_id,age,sex,employment,purpose,mode,duration_min,distance_km,num_persons,household_income,car_ownership
2118961591,2118961591,211896159,66 and more,Man,"Retired, not working",,,,,2,0.6578800871293811,None
2118961592,2118961592,211896159,66 and more,Woman,"Retired, not working",,,,,2,0.5761899646958017,None
2118985811,2118985811,211898581,36-45 years,Man,Working at both main and side jobs,Usual workplace,Car as driver,180.0,45.0,2,1.226524444430224,One
2118985812,2118985812,211898581,18-24 years,Man,Student (of university or vocational college),University,Metro,30.0,7.5,2,1.3467554790918572,None
2118991101,2118991101,211899110,25-35 years,Woman,In maternity leave,Health center/Doctor,Walking,20.0,5.0,1,1.0405488309535824,None
2118996601,2118996601,211899660,56-65 years,Woman,"Retired, not working",I was out of town/ I came from the region,Car as passenger,240.0,60.0,1,0.6254296922541548,None
2118997181,2118997181,211899718,56-65 years,Man,"Retired, but working",Health center/Doctor,Car as driver,120.0,30.0,1,0.4667548951516666,One
2118997621,2118997621,211899762,46-55 years,Woman,Housewife/ houseman,Domicile,Car as passenger,60.0,15.0,1,0.8987541627278769,None
2118997631,2118997631,211899763,46-55 years,Woman,Working at full time job(s),Big shopping (in shopping malls / supermarkets / big markets / bazar),Walking,15.0,3.75,3,0.8987541627278769,None
2118997632,2118997632,211899763,25-35 years,Woman,Freelancer,,,,,3,1.0405488309535824,None
2118997633,2118997633,211899763,18-24 years,Woman,Housewife/ houseman,,,,,3,1.1680184442194046,None
2118997641,2118997641,211899764,46-55 years,Woman,Working at full time job(s),"Daily needs shopping (in small nearby stores, on street markets etc)",Car as passenger,20.0,5.0,1,0.8987541627278769,One
2119002501,2119002501,211900250,66 and more,Woman,"Retired, not working","Daily needs shopping (in small nearby stores, on street markets etc)",Bus (local bus),10.0,2.5,1,0.5761899646958017,None
2119002771,2119002771,211900277,66 and more,Woman,"Retired, not working",to express сondolences/at the funeral,Car as passenger,30.0,7.5,1,0.5761899646958017,None
2119002781,2119002781,211900278,18-24 years,Man,Student (of university or vocational college),University,Bus (local bus),60.0,15.0,1,1.3467554790918572,None
2119002791,2119002791,211900279,66 and more,Woman,"Retired, not working",,,,,3,0.5761899646958017,None
2119002792,2119002792,211900279,66 and more,Man,Hard to answer,,,,,3,0.6578800871293811,None
2119002794,2119002794,211900279,25-35 years,Man,"Unemployed, searching for job",Sport and body-care activities,Bus (local bus),10.0,2.5,3,1.5166038838578633,None
2119004841,2119004841,211900484,66 and more,Man,"Retired, not working",,,,,2,0.6244196024451651,None
2119004842,2119004842,211900484,66 and more,Woman,"Retired, not working",,,,,2,0.4584940686118703,None
2119009861,2119009861,211900986,36-45 years,Woman,Housewife/ houseman,Accompanying/picking kids to/from school,Walking,20.0,5.0,1,0.8182308142103268,None
2119010551,2119010551,211901055,66 and more,Woman,"Retired, not working","Services and administrative needs (city service centers, banks, etc)",Bus (local bus),15.0,3.75,1,4.44257048266213,None
2119010561,2119010561,211901056,66 and more,Woman,"Retired, not working",Big shopping (in shopping malls / supermarkets / big markets / bazar),Bus (local bus),40.0,10.0,1,4.44257048266213,None
2119013631,2119013631,211901363,25-35 years,Man,Working at full time job(s),Not usual workplace/ on some work tasks,Car as driver,30.0,7.5,1,1.6062940663142846,One
2119017461,2119017461,211901746,25-35 years,Man,"Unemployed, searching for job","Daily needs shopping (in small nearby stores, on street markets etc)",Car as driver,40.0,10.0,1,1.5166038838578633,None
2119017611,2119017611,211901761,66 and more,Man,"Retired, not working",Usual workplace,Walking,15.0,3.75,1,0.6244196024451651,One
2119025091,2119025091,211902509,25-35 years,Man,Working at part time job(s),Not usual workplace/ on some work tasks,Car as driver,40.0,10.0,1,1.5166038838578633,One
2119028981,2119028981,211902898,46-55 years,Man,Working at full time job(s),Domicile,Bus (local bus),40.0,10.0,4,18.982593336235094,None
2119028982,2119028982,211902898,46-55 years,Woman,Working at full time job(s),Usual workplace,"Shared transport provided by employer (shuttle, bus…)",60.0,15.0,4,8.23147982422885,None
2119028983,2119028983,211902898,14-15 years,Woman,Both studying and working,,,,,4,5.9600316854111375,None
2119028984,2119028984,211902898,14-15 years,Man,Studying at school,,,,,4,4.891959581209663,None
2119029281,2119029281,211902928,25-35 years,Woman,Working at full time job(s),Usual workplace,Car as driver,15.0,3.75,1,1.0405488309535824,One
2119031631,2119031631,211903163,66 and more,Woman,"Retired, but working",,,,,1,0.4584940686118703,None
2119035651,2119035651,211903565,36-45 years,Woman,Housewife/ houseman,Not usual workplace/ on some work tasks,Any other,40.0,10.0,1,0.4790434840123388,One
2119036171,2119036171,211903617,36-45 years,Man,Working at full time job(s),Usual workplace,Car as driver,60.0,15.0,3,0.7090835932181876,One
2119036172,2119036172,211903617,25-35 years,Woman,Housewife/ houseman,,,,,3,0.7612879330364337,None
2119036173,2119036173,211903617,14-15 years,Woman,Studying at school,Courses/clubs/sections/other educational facilities,Bus (local bus),20.0,5.0,3,0.407376413635804,None
2119039351,2119039351,211903935,18-24 years,Woman,Working at part time job(s),Secondary School,Bus (local bus),10.0,2.5,1,1.8292817959292689,None
2119042061,2119042061,211904206,66 and more,Woman,Working at full time job(s),Domicile,Car as passenger,20.0,5.0,1,0.4584940686118703,None
2119042311,2119042311,211904231,56-65 years,Man,"Unemployed, not searching for job",,,,,1,0.9454076260111136,None
2119042351,2119042351,211904235,36-45 years,Woman,Housewife/ houseman,Secondary School,Car as passenger,5.0,1.25,2,0.4790434840123388,One
2119042353,2119042353,211904235,14-15 years,Man,Studying at school,Sport and body-care activities,Bus (local bus),40.0,10.0,2,0.3552155412112441,None
2119042361,2119042361,211904236,66 and more,Man,Working at full time job(s),,,,,1,0.6244196024451651,None
2119042371,2119042371,211904237,56-65 years,Man,Working at full time job(s),,,,,1,0.4667548951516666,None
2119042381,2119042381,211904238,66 and more,Woman,"Retired, not working",,,,,1,0.4584940686118703,None
2119046201,2119046201,211904620,66 and more,Woman,Housewife/ houseman,Secondary School,Bus (local bus),15.0,3.75,1,0.5761899646958017,None
2119046211,2119046211,211904621,36-45 years,Woman,Housewife/ houseman,,,,,1,0.8182308142103268,None
2119046221,2119046221,211904622,18-24 years,Woman,Student (of university or vocational college),,,,,3,1.1680184442194046,None
2119046222,2119046222,211904622,46-55 years,Woman,Housewife/ houseman,"Daily needs shopping (in small nearby stores, on street markets etc)",Metro,20.0,5.0,3,0.8987541627278769,None
2119046223,2119046223,211904622,66 and more,Woman,"Retired, not working",,,,,3,0.5761899646958017,None
2119047351,2119047351,211904735,25-35 years,Woman,Housewife/ houseman,"Daily needs shopping (in small nearby stores, on street markets etc)",Bus (local bus),50.0,12.5,2,1.0405488309535824,None
2119047352,2119047352,211904735,25-35 years,Man,Working at part time job(s),Not usual workplace/ on some work tasks,Bus (local bus),60.0,15.0,2,1.5166038838578633,None
2119051111,2119051111,211905111,46-55 years,Woman,"Unemployed, searching for job",,,,,1,0.8987541627278769,None
2119052041,2119052041,211905204,66 and more,Woman,"Retired, but working",Sport and body-care activities,Bus (local bus),10.0,2.5,1,0.5761899646958017,None
2119052241,2119052241,211905224,25-35 years,Woman,Working at part time job(s),Big shopping (in shopping malls / supermarkets / big markets / bazar),Marshrutka (local),60.0,15.0,1,0.7612879330364337,None
2119053181,2119053181,211905318,36-45 years,Woman,Working at full time job(s),Usual workplace,Bus (local bus),10.0,2.5,4,0.8182308142103268,None
2119053182,2119053182,211905318,46-55 years,Man,"Unemployed, searching for job","Visiting home of other people (parents, relatives, friends etc)",Bus (local bus),30.0,7.5,4,1.318947547664047,None
2119053183,2119053183,211905318,66 and more,Woman,"Retired, not working",,,,,4,0.5761899646958017,None
2119053185,2119053185,211905318,18-24 years,Man,Student (of university or vocational college),University,Metro,50.0,12.5,4,1.3467554790918572,None
2119063341,2119063341,211906334,56-65 years,Man,Collects different items,,,,,1,0.9454076260111136,None
2119063351,2119063351,211906335,36-45 years,Woman,Housewife/ houseman,Domicile,Personal e-scooter (or another motorized light personal vehicle),20.0,5.0,1,0.8182308142103268,One
2119063361,2119063361,211906336,36-45 years,Woman,Working at full time job(s),,,,,2,0.8182308142103268,None
2119063363,2119063363,211906336,16-17 years,Man,Studying at school,Ttutor/student,Metro,30.0,7.5,2,0.9712376361785788,None
2119063371,2119063371,211906337,18-24 years,Woman,Working at full time job(s),,,,,1,1.1680184442194046,None
2119070311,2119070311,211907031,56-65 years,Woman,"Retired, but working",Big shopping (in shopping malls / supermarkets / big markets / bazar),Bus (local bus),10.0,2.5,1,0.6254296922541548,None
2119071951,2119071951,211907195,66 and more,Woman,"Retired, not working",,,,,1,0.5761899646958017,None
2119071961,2119071961,211907196,66 and more,Woman,"Retired, but working",,,,,1,0.5761899646958017,None
2119071971,2119071971,211907197,36-45 years,Man,Working at full time job(s),Usual workplace,Any other,40.0,10.0,1,1.226524444430224,One
2119071981,2119071981,211907198,36-45 years,Man,Working at full time job(s),Usual workplace,Walking,10.0,2.5,1,1.226524444430224,One
2119074201,2119074201,211907420,18-24 years,Man,Student (of university or vocational college),,,,,1,1.3467554790918572,None
2119074211,2119074211,211907421,46-55 years,Woman,Housewife/ houseman,,,,,1,0.8987541627278769,None
2119074221,2119074221,211907422,25-35 years,Woman,Housewife/ houseman,Accompanying/picking kids to/from school,Car as driver,30.0,7.5,2,1.0405488309535824,One
2119074222,2119074222,211907422,36-45 years,Man,"Unemployed, searching for job",,,,,2,1.226524444430224,None
2119074231,2119074231,211907423,25-35 years,Woman,Housewife/ houseman,"Accompanying/picking kids to/from nursery, kindergarten",Marshrutka (local),10.0,2.5,1,1.0405488309535824,None
2119079201,2119079201,211907920,56-65 years,Woman,Housewife/ houseman,,,,,2,0.6254296922541548,None
2119079202,2119079202,211907920,36-45 years,Woman,Housewife/ houseman,Domicile,Marshrutka (local),20.0,5.0,2,0.8182308142103268,One
2119079211,2119079211,211907921,66 and more,Woman,"Retired, not working",Health center/Doctor,Taxi passenger,60.0,15.0,2,0.5761899646958017,None
2119079214,2119079214,211907921,18-24 years,Woman,Student (of university or vocational college),,,,,2,1.1680184442194046,None
2119079221,2119079221,211907922,36-45 years,Woman,Housewife/ houseman,,,,,1,0.8182308142103268,None
2119079231,2119079231,211907923,18-24 years,Woman,Student (of university or vocational college),"Accompanying/picking kids to/from nursery, kindergarten",Car as driver,15.0,3.75,2,1.1680184442194046,One
2119079232,2119079232,211907923,18-24 years,Woman,Student (of university or vocational college),University,Bus (local bus),75.0,18.75,2,1.1680184442194046,One
2119092421,2119092421,211909242,56-65 years,Woman,Working at full time job(s),Usual workplace,Bus (local bus),75.0,18.75,1,0.6254296922541548,None
2119096331,2119096331,211909633,66 and more,Woman,"Retired, not working",Domicile,Metro,60.0,15.0,1,0.5761899646958017,None
2119104361,2119104361,211910436,56-65 years,Woman,Housewife/ houseman,Health center/Doctor,Walking,20.0,5.0,1,0.6254296922541548,None
2119104371,2119104371,211910437,36-45 years,Woman,Housewife/ houseman,,,,,1,0.8182308142103268,None
